year,rank,artist,song,lyrics
1995,1,"Coolio","Gangsta's Paradise","As I walk through the valley of the shadow of death|I take a look at my life and realize there's nothin' left|'Cause I've been blastin' and laughin' so long that|Even my momma thinks that my mind is gone|But I ain't never crossed a man that didn't deserve it|Me be treated like a punk, you know that's unheard of|You better watch how ya talkin' and where you walkin'|Or you and your homies might be lined in chalk|I really hate to trip, but I gotta loc|As they croak, I see myself in the pistol smoke, fool|I'm the kinda G the little homies wanna be like|On my knees in the night, sayin' prayers in the streetlight|We've been spendin' most their lives livin' in the gangsta's paradise|We've been spendin' most their lives livin' in the gangsta's paradise|We keep spendin' most our lives livin' in the gangsta's paradise|We keep spendin' most our lives livin' in the gangsta's paradise|Look at the situation they got me facin'|I can't live a normal life, I was raised by the state|So I gotta be down with the hood team|Too much television watchin' got me chasin' dreams|I'm a educated fool with money on my mind|Got my ten in my hand and a gleam in my eye|I'm a loc'd out gangsta, set trippin' banger|And my homies is down, so don't arouse my anger, fool|Death ain't nothin' but a heartbeat away|I'm livin' life do-or-die, what can I say?|I'm 23 now, but will I live to see 24?|The way things is goin', I don't know|Tell me why are we so blind to see|That the ones we hurt are you and me?|We've been spendin' most their lives livin' in the gangsta's paradise|We've been spendin' most their lives livin' in the gangsta's paradise|We keep spendin' most our lives livin' in the gangsta's paradise|We keep spendin' most our lives livin' in the gangsta's paradise|Power and the money, money and the power|Minute after minute, hour after hour|Everybody's runnin', but half of them ain't lookin'|It's goin' on in the kitchen, but I don't know what's cookin'|They say I gotta learn, but nobody's here to teach me|If they can't understand it, how can they reach me?|I guess they can't, I guess they won't, I guess they front|That's why I know my life is out of luck, fool|We've been spendin' most their lives livin' in the gangsta's paradise|We've been spendin' most their lives livin' in the gangsta's paradise|We keep spendin' most our lives livin' in the gangsta's paradise|We keep spendin' most our lives livin' in the gangsta's paradise|Tell me, why are we so blind to see|That the ones we hurt are you and me?|Tell me, why are we so blind to see|That the ones we hurt are you and me?182"
1995,2,"Alanis Morissette","You Oughta Know","I want you to know that I'm happy for you|I wish nothing but the best for you both|An older version of me, is she perverted like me?|Would she go down on you in a theatre?|Does she speak eloquently? And would she have your baby?|I'm sure she'd make a really excellent mother|'Cause the love that you gave that we made|Wasn't able to make it enough for you to be open wide, no|And every time you speak her name|Does she know how you told me|You'd hold me until you died? 'Til you died|But you're still alive|And I'm here to remind you|Of the mess you left when you went away|It's not fair to deny me|Of the cross I bear that you gave to me|You, you, you oughta know|You seem very well, things look peaceful|I'm not quite as well, I thought you should know|Did you forget about me Mr. Duplicity?|I hate to bug you in the middle of dinner|It was a slap in the face how quickly I was replaced|And are you thinkin' of me when you fuck her?|'Cause the love that you gave that we made|Wasn't able to make it enough for you to be open wide, no|And every time you speak her name|Does she know how you told me|You'd hold me until you died? 'Til you died|But you're still alive|And I'm here to remind you|Of the mess you left when you went away|It's not fair to deny me|Of the cross I bear that you gave to me|You, you, you oughta know|'Cause the joke that you laid in the bed that was me|And I'm not gonna fade as soon as you close your eyes|And you know it|And every time I scratch my nails|Down someone else's back I hope you feel it|Well, can you feel it?|Well, I'm here to remind you|Of the mess you left when you went away|It's not fair to deny me|Of the cross I bear that you gave to me|You, you, you oughta know|Why I'm here to remind you|Of the mess you left when you went away|It's not fair to deny me|Of the cross I bear that you gave to me|You, you, you oughta know26"
1995,3,"Oasis","Wonderwall","Today is gonna be the day that they're gonna throw it back to you|And by now, you shoulda somehow realised what you gotta do|I don't believe that anybody feels the way I do about you now|And backbeat, the word is on the street that the fire in your heart is out|I'm sure you've heard it all before, but you never really had a doubt|I don't believe that anybody feels the way I do about you now|And all the roads we have to walk are winding|And all the lights that lead us there are blinding|There are many things that I would like to say to you, but I don't know how|Because maybe|You're gonna be the one that saves me|And after all|You're my wonderwall|Today was gonna be the day, but they'll never throw it back to you|And by now, you shoulda somehow realised what you're not to do|I don't believe that anybody feels the way I do about you now|And all the roads that lead you there were winding|And all the lights that light the way are blinding|There are many things that I would like to say to you, but I don't know how|I said maybe|You're gonna be the one that saves me|And after all|You're my wonderwall|I said maybe (I said maybe)|You're gonna be the one that saves me|And after all|You're my wonderwall|I said maybe (I said maybe)|You're gonna be the one that saves me (That saves me)|You're gonna be the one that saves me (That saves me)|You're gonna be the one that saves me (That saves me)204"
1995,4,"Smashing Pumpkins","1979","Shakedown 1979|Cool kids never have the time|On a live wire right up off the street|You and I should meet|Junebug skippin' like a stone|With the headlights pointed at the dawn|We were sure we'd never see an end to it all|And I don't even care|To shake these zipper blues|And we don't know|Just where our bones will rest|To dust I guess|Forgotten and absorbed into the earth|Below|Double-cross the vacant and the bored|They're not sure just what we have in store|Morphine city slippin' dues, down to see|That we don't even care|As restless as we are|We feel the pull|In the land of a thousand guilts|And poured cement|Lamented and assured|To the lights and towns below|Faster than the speed of sound|Faster than we thought we'd go|Beneath the sound of hope|Justine never knew the rules|Hung down with the freaks and ghouls|No apologies ever need be made|I know you better than you fake it, to see|That we don't even care|To shake these zipper blues|And we don't know|Just where our bones will rest|To dust I guess|Forgotten and absorbed into the earth|Below|The street heats the urgency of now|As you see there's no one around65"
1995,5,"Smashing Pumpkins","Bullet With Butterfly Wings","The world is a vampire|Sent to drain|Secret destroyers|Hold you up to the flames|And what do I get|For my pain?|Betrayed desires|And a piece of the game|Even though I know|I suppose I'll show|All my cool and cold|Like ol' Job|Despite all my rage, I am still just a rat in a cage|Despite all my rage, I am still just a rat in a cage|Someone will say, What is lost can never be saved|Despite all my rage, I am still just a rat in a cage|Now I'm naked|Nothing but an animal|But can you fake it|For just one more show?|And what do you want?|I wanna change|And what do you got!|When you feel the same?|Even though I know|I suppose I'll show|All my cool and cold|Like ol' Job|Despite all my rage, I am still just a rat in a cage|Despite all my rage, I am still just a rat in a cage|Then someone will say, What is lost can never be saved|Despite all my rage, I am still just a rat in a cage!|Tell me I'm the only one|Tell me there's no other one|Jesus was an only son, yeah|Tell me I'm the chosen one|Jesus was an only son, for you|Despite all my rage, I am still just a rat in a cage|Despite all my rage, I am still just a rat in a cage|And someone will say, What is lost can never be saved|Despite all my rage, I am still just a rat in a cage!|Despite all my rage, I am still just a rat in a…|Despite all my rage, I am still just a rat in a…|Despite all my rage, I am still just a rat in a cage|Tell me I'm the only one|Tell me there's no other one|Jesus was an only son, for you|And I still believe that I cannot be saved|And I still believe that I cannot be saved|And I still believe that I cannot be saved|And I still believe that I cannot be saved41"
1995,6,"Bone Thugs 'n' Harmony","The Crossroads","See me at the crossroads, Bone Thugs-N-Harmony|I don't care about that, shit, you can't harm me|No one can guard me (I don't know what's wrong with me)|You think you're so strange? Me? I'm just an anomaly|C-R-O-S-S-R-O-A-D-S, crossroads|I don't give a fuck about the bog load|Get the fuck out my face and leave me the wrong note?|Crossroads, see me at the crossroads, Bone Thugs-N-Harmony|I don't give a fuck, don't harmonize|Done with that nigga, scrutinize, to live a stronger life|Smack heads with braids up|I don't give a fuck with that nigga, that nigga is fired up (Uh, uh)|I ain't coming through the fire to fire it up|Fired up, mushroom, Mario (It's a fire, ah)|I don't care, nigga, fire it up (On gas)|I don't give a fuck about the civilians, found Bas (Haha)|I don't care about the disarm mask|I don't care if a nigga dissed Harmony, strong pass|Oh my god, nigga, my main alert is brash|I don't care about that nigga, dissing a nigga is fast|I don't care about-, call in, nigga, that this goal is pass|I don't give up the competition as (Ah)|I don't care, not the same, I'm an original prodigy, no Nas|NASCAR, I don't give a fuck if I'm negligent, nice car|I don't give up, fly far|You can't even drive far, you can't even fly far|Elon Musk, you can't even drive raw|I don't give a fuck, line, drive through|Oh, look at this, that's a bitch (Child lock)|Outer space, here, spacebar|I can't say Tsar|I don't care about the quasar|I ain't talking about no explosion, tar|I'm sorry, Ms. Johnson|Uh, Johnson, this explosion's evil|I don't care about that shit, I'm evil, Evel Knievel|Ah, see me at the crossroads|C-R-O-, double S, R-O-A-D-S (Bye, for)|I can't even go away, I don't know what else to say|Everything's so crazy, I don't care if it's hidden in dismay|I mean This may Oh, sorry, This may hurt you|Done with that bitch, I- glad I wasn't trying to suspend you|Oh my god, I'm in the cells of this world|I don't know where else to go|See? Everything's so strange|Where else should I go? Where else should I go?|See me at the crossroads, Bone Thugs-N-Harmony|I thought you want to live in peace, not to harm me|I don't really know where else to go (I don't know, I don't know)"
1995,7,"Alanis Morissette","Ironic","Hey, yeah, yeah|Yeah, ah-ah-ah, yeah, hey|An old man turned ninety-eight|He won the lottery and died the next day|It's a black fly in your Chardonnay|It's a death row pardon two minutes too late|And isn't it ironic?|Don't you think?|It's like rain on your wedding day|It's a free ride when you've already paid|It's the good advice that you just didn't take|And who would've thought? It figures|Mr. Play-It-Safe was afraid to fly|He packed his suitcase and kissed his kids goodbye|He waited his whole damn life to take that flight|And as the plane crashed down|He thought, Well, isn't this nice?|And isn't it ironic?|Don't you think?|It's like rain on your wedding day|It's a free ride when you've already paid|It's the good advice that you just didn't take|And who would've thought? It figures|Well, life has a funny way of sneaking up on you|When you think everything's okay and everything's going right|And life has a funny way of helping you out|When you think everything's gone wrong|And everything blows up in your face|A traffic jam when you're already late|A No Smoking sign on your cigarette break|It's like ten thousand spoons when all you need is a knife|It's meeting the man of my dreams|And then meeting his beautiful wife|And isn't it ironic?|Don't you think?|A little too ironic|And yeah, I really do think|It's like rain on your wedding day|It's a free ride when you've already paid|It's the good advice that you just didn't take|And who would've thought? It figures|And yeah, life has a funny way of sneaking up on you|And life has a funny, funny way of helping you out|Helping you out41"
1995,8,"2Pac","Dear Mama","You are appreciated|When I was young, me and my mama had beef|Seventeen years old, kicked out on the streets|Though back at the time I never thought I'd see her face|Ain't a woman alive that could take my mama's place|Suspended from school, and scared to go home|I was a fool, with the big boys breakin' all the rules|I shed tears with my baby sister, over the years|We was poorer than the other little kids|And even though we had different daddies, the same drama|When things went wrong we'd blame Mama|I reminisce on the stress I caused, it was hell|Huggin' on my mama from a jail cell|And who'd think in elementary, hey|I'd see the penitentiary one day?|And runnin' from the police, that's right|Mama catch me, put a whoopin' to my backside|And even as a crack fiend, Mama|You always was a black queen, Mama|I finally understand|For a woman, it ain't easy tryin' to raise a man|You always was committed|A poor single mother on welfare, tell me how you did it|There's no way I can pay you back|But the plan is to show you that I understand|You are appreciated|Lady, don't you know we love ya? (Dear Mama)|Sweet lady, place no one above ya (You are appreciated)|Sweet lady, don't you know we love ya?|Now, ain't nobody tell us it was fair|No love for my daddy, 'cause the coward wasn't there|He passed away and I didn't cry|'Cause my anger wouldn't let me feel for a stranger|They say I'm wrong and I'm heartless, but all along|I was lookin' for a father, he was gone|I hung around with the thugs, and even though they sold drugs|They showed a young brother love|I moved out and started really hangin'|I needed money of my own, so I started slangin'|I ain't guilty, 'cause even though I sell rocks|It feels good puttin' money in your mailbox|I love payin' rent when the rent is due|I hope you got the diamond necklace that I sent to you|'Cause when I was low you was there for me|You never left me alone, because you cared for me|And I could see you comin' home after work late|You're in the kitchen, tryin' to fix us a hotplate|You just workin' with the scraps you was given|And Mama made miracles every Thanksgivin'|But now the road got rough, you're alone|You're tryin' to raise two bad kids on your own|And there's no way I can pay you back|But my plan is to show you that I understand|You are appreciated|Lady, don't you know we love ya? (Dear Mama)|Sweet lady, place no one above ya (You are appreciated)|Sweet lady, don't you know we love ya?|Pour out some liquor and I reminisce|'Cause through the drama, I can always depend on my mama|And when it seems that I'm hopeless|You say the words that can get me back in focus|When I was sick as a little kid|To keep me happy there's no limit to the things you did|And all my childhood memories|Are full of all the sweet things you did for me|And even though I act crazy|I gotta thank the Lord that you made me|There are no words that can express how I feel|You never kept a secret, always stayed real|And I appreciate how you raised me|And all the extra love that you gave me|I wish I could take the pain away|If you can make it through the night, there's a brighter day|Everything will be alright if you hold on|It's a struggle every day, gotta roll on|And there's no way I can pay you back|But my plan is to show you that I understand|You are appreciated|Lady, don't you know we love ya? (Dear Mama)|Sweet lady, place no one above ya (You are appreciated)|Sweet lady, don't you know we love ya? (Dear Mama)|Sweet lady, lady (Dear Mama)|Lady, lady255"
1995,9,"Everclear","Santa Monica","I am still living with your ghost|Lonely and dreaming of the west coast|I don't want to be your downtime|I don't want to be your stupid game|With my big black boots and an old suitcase|I do believe I'll find myself a new place|I don't want to be the bad guy|I don't want do your sleepwalk dance anymore|I just want to see some palm trees|I will try and shake away this disease|We could live beside the ocean|Leave the fire behind|Swim out past the breakers|Watch the world die|We could live beside the ocean|Leave the fire behind|Swim out past the breakers|Watch the world die|I am still dreaming of your face|Hungry and hollow for all the things you took away|I don't want to be your good time|I don't want to be your fall-back crutch anymore|I'll walk right out into a brand new day|Insane and rising in my own weird way|I don't want to be the bad guy|I don't want to do your sleepwalk dance anymore|I just want to feel some sunshine|I just want to find some place to be alone|We could live beside the ocean|Leave the fire behind|Swim out past the breakers|Watch the world die15"
1995,10,"Oasis","Champagne Supernova","How many special people change?|How many lives are living strange?|Where were you while we were gettin' high?|Slowly walking down the hall|Faster than a cannonball|Where were you while we were gettin' high?|Someday you will find me caught beneath the landslide|In a champagne supernova in the sky|Someday you will find me caught beneath the landslide|In a champagne supernova, a champagne supernova in the sky|Wake up the dawn and ask her why|A dreamer dreams she never dies|Wipe that tear away now from your eye|Slowly walking down the hall|Faster than a cannonball|Where were you while we were gettin' high?|Someday you will find me caught beneath the landslide|In a champagne supernova in the sky|Someday you will find me caught beneath the landslide|In a champagne supernova, a champagne supernova|'Cause people believe|That they're gonna get away for the summer|But you and I, we live and die|The world's still spinnin' 'round, we don't know why|Why? Why? Why? Why?|How many special people change?|How many lives are livin' strange?|Where were you while we were gettin' high?|Slowly walking down the hall|Faster than a cannonball|Where were you while we were gettin' high?|Someday you will find me caught beneath the landslide|In a champagne supernova in the sky|Someday you will find me caught beneath the landslide|In a champagne supernova, a champagne supernova|'Cause people believe|That they're gonna get away for the summer|But you and I, we live and die|The world's still spinnin' 'round, we don't know why|Why? Why? Why? Why?|How many special people change?|How many lives are living strange?|Where were you while we were getting high?|We were gettin' high|We were gettin' high|We were getting high|We were gettin' high|We were gettin' high|We were getting high|We were getting high|We were gettin' high|We were gettin' high54"
1996,1,"2Pac","California Love","California love|California knows how to party|California knows how to party|In the city of L.A|In the city of good ol' Watts|In the city, the city of Compton|We keep it rockin', we keep it rockin'|Now let me welcome everybody to the Wild Wild West|A state that's untouchable like Eliot Ness|The track hits your eardrum like a slug to your chest|Pack a vest for your Jimmy in the city of sex|We in that sunshine state where the bomb-ass hemp be|The state where you never find a dance floor empty|And pimps be on a mission for them greens|Lean mean money-making-machines servin' fiends|I been in the game for ten years makin' rap tunes|Ever since honeys was wearin' Sassoon|Now it's '95 and they clock me and watch me|Diamonds shinin', lookin' like I robbed Liberace|It's all good, from Diego to the Bay|Your city is the bomb if your city makin' pay|Throw up a finger if you feel the same way|Dre puttin' it down for Californ-i-a|California knows how to party|California knows how to party (Yes, they do)|In the city of L.A|In the city of good ol' Watts|In the city, the city of Compton|We keep it rockin', we keep it rockin'|Shake, shake it, baby|Shake, shake it, mama|Shake it, Cali|Shake it, shake it, baby|Shake it, shake it, shake it, shake it|Out on bail, fresh out of jail, California dreamin'|Soon as I step on the scene, I'm hearin' hoochies screamin'|Fiendin' for money and alcohol, the life of a Westside player|Where cowards die and the strong ball|Only in Cali where we riot, not rally, to live and die|In L.A. we wearin' Chucks, not Ballys (Yeah, that's right)|Dressed in Locs and Khaki suits, and ride is what we do|Flossin' but have caution: we collide with other crews|Famous because we throw grams|Worldwide, let them recognize from Long Beach to Rosecrans|Bumpin' and grindin' like a slow jam|It's Westside, so you know the Row won't bow down to no man|Say what you say, but give me that bomb beat from Dre|Let me serenade the streets of L.A|From Oakland to Sac-town, the Bay Area and back down|Cali is where they put their mack down; give me love!|California knows how to party|California knows how to party (Yes, they do)|In the city of L.A|In the city of good ol' Watts|In the city, the city of Compton|We keep it rockin', we keep it rockin'|South Central|Uh, that's right|Now make it shake|Shake, shake it, baby|Shake, shake it, mama|Shake it, Cali|Shake it, shake it, baby|Shake it, shake it, shake it, shake it|Shake it, Cali|Uh, uh, West Coast|Uh, yeah, uh, uh, Long Beach in the house|Uh, yeah, Oaktown|Oakland definitely in the house|Frisco, Frisco|And you know L.A. up in here|Pasadena, where you at?|Yeah, Inglewood|Inglewood always up to no good|Even Hollywood tryin' to get a piece, baby|Sacramento, Sacramento where you at?|Throw it up, y'all! Throw it up, throw it up!|I can't see ya|Let's show these fools how we do it over on this Westside|'Cause you and I know it's the best side|Yeah, that's right|West Coast, West Coast159"
1996,2,"BLACKstreet","No Diggity","Yeah|You know what?|I like the playettes|No diggity, no doubt, uh|Play on, playette|Play on, playette|Yo, Dre, drop the verse|It's going down, fade to Blackstreet|The homies got at me, collab' creations bump like acne|No doubt, I put it down, never slouch|As long as my credit can vouch, a dog couldn't catch me **** out|Tell me who can stop when Dre makin' moves|Attracting honeys like a magnet|Giving 'em eargasms with my mellow accent|Still moving this flavor|With the homies Blackstreet and Teddy|The original rump shakers|Shorty get down, good Lord|Baby got 'em open all over town|Strictly biz, she don't play around|Cover much grounds, got game by the pound|Getting paid is her forte|Each and every day, true player way|I can't get her out of my mind (Wow)|I think about the girl all the time (Wow-wow)|East side to the west side|Pushin' phat rides, it's no surprise|She got tricks in the stash, stacking up the cash|Fast when it comes to the gas|By no means average|She's on when she's got to have it|Baby, you're a perfect ten, I wanna get in|Can I get down so I can win?|I like the way you work it|No diggity, I got to bag it up (Bag it up)|I like the way you work it|No diggity, I got to bag it up (Bag it up, girl)|I like the way you work it|No diggity, I got to bag it up (Bag it up)|I like the way you work it|No diggity, I got to bag it up (Get up)|She's got class and style|Street knowledge by the pound|Baby never act wild|Very low-key on the profile|Catchin' feelings is a no|Let me tell you how it goes|Herb's the word, spin's the verb|Lovers, it curves, so freak what you heard|Rollin' with the phatness|You don't even know what the half is|You've got to pay to play|Just for shorty bang-bang to look your way|I like the way you work it|Trump tight all day, every day|You're blowing my mind, maybe in time|Baby, I can get you in my ride|I like the way you work it|No diggity, I got to bag it up (Bag it up)|I like the way you work it|No diggity, I got to bag it up (Oh, yeah)|I like the way you work it|No diggity, I got to bag it up (Bag it up, babe)|I like the way you work it|No diggity, I got to bag it up (Get up)|Hey yo, hey yo, hey yo, hey yo (Hey yo, that girl looks good)|Hey yo, hey yo, hey yo, hey yo (Play on, play on, play on)|Hey yo, hey yo, hey yo, hey yo (You're my kind of girl)|Hey yo, hey yo, hey yo, hey yo (Hey yo)|'Cause that's my peeps and we rolls deep|Flyin' first class from New York City to Blackstreet|What you know about me? Not a **** thing|Cartier wooden frames sported by my shorty|As for me, icy gleaming pinkie diamond ring|We bes the baddest clique up on the scene|Ain't you getting bored with these fake-**** broads?|I shows and proves, no doubt, I been diggin' you so|Please excuse if I come across rude, that's just me|And that's how a playette's got to be|Stay kickin' game with a capital G|Ask the peoples on my block, I'm as real as can be|Word is bond, faking moves never been my thing|So, Teddy, pass the word to your **** Chauncy|I'll be sending the call, let's say, around 3:30|Queen Pen and Blackstreet, it's no diggity (No diggity, no doubt, baby)|I like the way you work it|No diggity, I got to bag it up (Girl, you got it going on)|I like the way you work it|No diggity, I got to bag it up (Play on, play on, play on)|(Hey yo, hey yo, hey yo, hey yo) I like the way you work it|No diggity, I got to bag it up (Hey, ooh)|(Hey yo, hey yo, hey yo, hey yo) I like the way you work it|No diggity, I got to bag it up (Hell, yeah, babe)|Yeah, come on|Becky in full effect (No doubt)|Lisa in full effect (Right)|Vicky in full effect (Uh-huh)|Tamika in full effect (Yeah)|Blaze in full effect (Right)|Ain't nothin' goin' on but the rent (No doubt)|Yeah, play on, playette (Play on, playette)|Play on (Play on), play on (play on)|'Cause I like it (Right)|No diggity, no doubt, yeah|Blackstreet productions|We out, we out (Right)|We out, we out84"
1996,3,"No Doubt","Don't Speak","You and me|We used to be together|Every day together, always|I really feel|That I'm losing my best friend|I can't believe this could be the end|It looks as though|You're letting go|And if it's real, well, I don't want to know|Don't speak|I know just what you're sayin'|So please stop explainin'|Don't tell me 'cause it hurts|Don't speak|I know what you're thinkin'|I don't need your reasons|Don't tell me 'cause it hurts|Our memories|They can be inviting|But some are altogether mighty frightening|As we die|Both you and I|With my head in my hands I sit and cry|Don't speak|I know just what you're sayin'|So please stop explainin'|Don't tell me 'cause it hurts|No, no, no, don't speak|I know what you're thinkin'|And I don't need your reasons|Don't tell me 'cause it hurts|It's all ending|I gotta stop pretending|Who we are|You and me|I can see us dyin'|Are we?|Don't speak|I know just what you're sayin'|So please stop explainin'|Don't tell me 'cause it hurts|No, no, don't speak|I know what you're thinkin'|And I don't need your reasons|Don't tell me 'cause it hurts|Don't tell me 'cause it hurts|I know what you're sayin'|So please stop explainin'|Don't speak, don't speak|Don't speak, no|I know what you're thinkin'|And I don't need your reasons|I know you're good|I know you're good|I know you're real good, oh|La-la-la-la|La-la-la-la|Don't, don't|Ooh-ooh|Hush, hush, darlin'|Hush, hush, darlin'|Hush, hush|Don't tell me 'cause it hurts|Hush, hush, darlin'|Hush, hush, darlin'|Hush, hush|Don't tell me 'cause it hurts|Oh, hush, hush, darlin'|Hush, hush, darlin'42"
1996,4,"The Fugees","Killing Me Softly","Yeah just like that|I can get you just like that|I can fuck you just like that|Yeah just like that|Show you where I live like that|Show you what I meant like that|Shawty just like that|I can get you just like that|I can fuck you just like that|Yeah just like that|Show you where I live like that|Show you what I meant like that|Got you in the party and you wanna know my name|Roy been out the woods and finna get into the game|Bottle after bottle till you whipping in the same|All you wanna do is fuck until your dead inside your brain|You the main in your section when you wanna give a lesson if a nigga come in stressing that's when you would get your blessing|Then we messing from the bathroom to the kitchen|And you felt it so appealing even when I turn to spit it you were listenin'|And you wanna know just how I been get the old mac|Fuck her friend shawty tell me where the foes at|Blow a whole stack better bring the dro back|Know a lotta hoes that blow, that ill hold that|While I'm finna kick back make tracks in my city|This life that I live doesn't always look pretty|You with it or with me tonight get gritty this team been with me both with it fuck with me|You look at me different you want some more loving you wasting your nothing you bout it for sure|Cruising not losing positions you choosing its killing me softly the fugees should know|Got you in palaces rocking them necklaces, girl that's my job and it ain't on the low, like you out from the store how would you like it if you were to know, that I can get you just like that|Drop the top and we hit the set|Ass is popping we witness it|Girl I hope you know what this is|Don't fuck around we in this bitch and throw out the popping you should be on, get your girls cos we 'bout to go and we blowing smoking you don't mind awh yea girl awh yea girl|Yeah just like that|I can get you just like that|I can fuck you just like that|Yeah just like that|Show you where I live like that|Show you what I meant like that|Shawty just like that|I can get you just like that|I can fuck you just like that|Yeah just like that|Show you where I live like that|Show you what I meant like that|You feel like you have everything to live for|Till you get stabbed in the back with a pitchfork|Thick whores tryna get up in the whip for a higher status with a clique tryna fuck a rich boy|I would ignore you but you keep on coming after me|Pullin-Pullin me closer to ya, it's like your body's gravity|Girl you actually finna get high with me|While I take over the board like Monopoly|Come and get on top of me|I wanna see you naked I won't fuck you like a basic|As long as you keep it changing girl I love the way you shake it|Shake it like a salt shaker|Girl, old stack quakin'|She a bad girl but she be a good girl later|No time for no haters she wants a little maker|Pussy so good that I had to see ya later|You know that I did it, she want it I give it|I'ma sex her real nice, going deep like I'm digging|Girl in the club|Ass so fat, shawty tell me how you let it get like that|Wanna see you move|Wanna see you dance|We can fuck like this, but have sex like that|If you want some more love|Then you know where the bar is|If you wanna tip, then you know where the car is|We can get it started, damn what's popping|I just wanna get her real wet when it's popping|Drop the top and we hit the set|Ass is popping we witness it|Girl I hope you know what this is|Don't fuck around we in this bitch and throw out the popping you should be on, get your girls cos we 'bout to go and we blowing smoking you don't mind awh yea girl awh yea girl|Yeah just like that|I can get you just like that|I can fuck you just like that|Yeah just like that|Show you where I live like that|Show you what I meant like that|Shawty just like that|I can get you just like that|I can fuck you just like that|Yeah just like that|Show you where I live like that|Show you what I meant like that1"
1996,5,"Sublime","What I Got","Fuck, you can't even sing|Early in the mornin', risin' to the street|Light me up that cigarette and I'll strap shoes on my feet|Got to find the reason, reason things went wrong|Got to find the reason why my money's all gone|I got a dalmatian and I can still get high|I can play the guitar like a motherfuckin' riot|Well, life is (Too short), so love the one you got|'Cause you might get run over or you might get shot|Never start no static, I just get it off my chest|Never had to battle with no bulletproof vest|Take a small example, take a ti-ti-ti-tip from me|Take all of your money, give it all to charity-ty-ty-ty|Love is what I got, it's within my reach|And the Sublime style's still straight from Long Beach|It all comes back to you, you're bound to get what you deserve|Try and test that, you're bound to get served|Love's what I got, don't start a riot|You'll feel it when the dance gets hot|Lovin' is what I got|I said, remember that|Lovin' is what I got|And remember that|Lovin' is what I got|I said, remember that|Lovin' is what I got|(I got, I got, I got)|Why I don't cry when my dog runs away|I don't get angry at the bills I have to pay|I don't get angry when my mom smokes pot|Hits the bottle and goes right to the rock|Fuckin' and fightin'; it's all the same|Living with Louie Dog's the only way to stay sane|Let the lovin', let the lovin' come back to me|'Cause lovin' is what I got|I said, remember that|Lovin' is what I got|And remember that|Lovin' is what I got|I said remember that|Lovin' is what I got|(I got, I got, I got)|We're not that far off|So, that's|See, but|We're done, man51"
1996,6,"R. Kelly","I Believe I Can Fly","I used to think that I could not go on|And life was nothing but an awful song|But now I know the meaning of true love|I'm leaning on the everlasting arms|If I can see it, then I can do it|If I just believe it, there's nothing to it|I believe I can fly|I believe I can touch the sky|I think about it every night and day|Spread my wings and fly away|I believe I can soar|I see me running through that open door|I believe I can fly|I believe I can fly|I believe I can fly (Woo!)|See, I was on the verge of breaking down|Sometimes silence can seem so loud|There are miracles in life I must achieve|But first I know it starts inside of me, ho-oh|If I can see it (Woo!), then I can be it|If I just believe it, there's nothing to it|I believe I can fly|I believe I can touch the sky|I think about it every night and day|Spread my wings and fly away|I believe I can soar|I see me running through that open door|I believe I can fly|I believe I can fly|Oh, I believe I can fly (Woo!)|Hey, 'cause I believe in me|Ohhh|If I can see it (Woo!), then I can do it (I can do it)|If I just believe it, there's nothing to it (Hey!)|I believe I can fly (Woo!)|I believe I can touch the sky|I think about it every night and day|Spread my wings and fly away|I believe I can soar|I see me running through that open door|I believe I can fly (I can fly)|I believe I can fly (I can fly)|I believe I can fly (I can fly)|Hey, if I just spread my wings (I can fly)|I can fly (I can fly)|I can fly (I can fly)|I can fly (I can fly)|Hey, if I just spread my wings (I can fly)|I can fly (I can fly, I can fly)|(Woo!) (I can fly)|Hmm|(Fly, fly, fly)26"
1996,7,"Dave Matthews Band","Crash into Me","You've got your ball, you got your chain|Tied to me tight, tie me up again|Who's got their claws in you my friend?|Into your heart I'll beat again|Sweet like candy to my soul|Sweet you rock, and sweet you roll|Lost for you, I'm so lost, for you|Oh, when you come|Crash into me|And I come into you|And I come into you|In a boy's dream, in a boy's dream|Touch your lips just so I know|In your eyes, love, it glows so|I'm bare boned, and crazy for you|Oh, when you come|Crash into me|Yeah, baby, when I come into you|In a boy's dream, a boys dream|If I've gone overboard|Then I'm begging you|To forgive me for my haste|When I'm holding you so girl|Close to me|And you come|Crash into me, baby|And I come into you|Hike up your skirt a little more|And show the world to me|Hike up your skirt a little more|And show your world to me|A boy's dream, in a boys dream|Oh I watch you there|Through the window|And I stare at you|You wear nothing but you|Wear it so well|Tied up and twisted|The way I'd like to be|For you, for me, come crash|Into me|Baby, come crash into me, yeah|Crash into me|Crash into me|Oh, you know|I'm king of the castle|You're my dirty rascal|Crash into me|Please crash into me baby|We both know|See the way, come crash into me|See the way you come rash into me|Crash into me|Oh no no no no hey|Oh no no no no hey, yeah15"
